region,year,cohort,lower,upper
Caraquet,2000,0,0,18
Caraquet,2000,1,19,33
Caraquet,2000,2,34,48
Caraquet,2000,3,49,59
Caraquet,2000,4,60,69
Caraquet,2000,5,70,80
Caraquet,2000,6+,81,200
Caraquet,2001,0,0,17
Caraquet,2001,1,18,33
Caraquet,2001,2,34,48
Caraquet,2001,3,49,59
Caraquet,2001,4,60,69
Caraquet,2001,5,70,80
Caraquet,2001,6+,81,200
Caraquet,2002,0,0,17
Caraquet,2002,1,18,33
Caraquet,2002,2,34,48
Caraquet,2002,3,49,59
Caraquet,2002,4,60,69
Caraquet,2002,5,70,80
Caraquet,2002,6+,81,200
Caraquet,2003,0,0,16
Caraquet,2003,1,17,30
Caraquet,2003,2,31,49
Caraquet,2003,3,50,59
Caraquet,2003,4,60,69
Caraquet,2003,5,70,80
Caraquet,2003,6+,81,200
Caraquet,2004,0,0,17
Caraquet,2004,1,18,31
Caraquet,2004,2,32,49
Caraquet,2004,3,50,59
Caraquet,2004,4,60,69
Caraquet,2004,5,70,80
Caraquet,2004,6+,81,200
Caraquet,2005,0,0,18
Caraquet,2005,1,19,33
Caraquet,2005,2,34,49
Caraquet,2005,3,50,59
Caraquet,2005,4,60,69
Caraquet,2005,5,70,80
Caraquet,2005,6+,81,200
Caraquet,2006,0,0,18
Caraquet,2006,1,19,33
Caraquet,2006,2,34,49
Caraquet,2006,3,50,59
Caraquet,2006,4,60,69
Caraquet,2006,5,70,80
Caraquet,2006,6+,81,200
Caraquet,2007,0,0,18
Caraquet,2007,1,19,32
Caraquet,2007,2,33,49
Caraquet,2007,3,50,59
Caraquet,2007,4,60,69
Caraquet,2007,5,70,80
Caraquet,2007,6+,81,200
Caraquet,2008,0,0,19
Caraquet,2008,1,20,31
Caraquet,2008,2,32,49
Caraquet,2008,3,50,58
Caraquet,2008,4,59,69
Caraquet,2008,5,70,80
Caraquet,2008,6+,81,200
Caraquet,2009,0,0,18
Caraquet,2009,1,19,31
Caraquet,2009,2,32,47
Caraquet,2009,3,48,59
Caraquet,2009,4,60,69
Caraquet,2009,5,70,80
Caraquet,2009,6+,81,200
Caraquet,2010,0,0,19
Caraquet,2010,1,20,31
Caraquet,2010,2,32,47
Caraquet,2010,3,48,59
Caraquet,2010,4,60,69
Caraquet,2010,5,70,80
Caraquet,2010,6+,81,200
Caraquet,2011,0,0,18
Caraquet,2011,1,19,31
Caraquet,2011,2,32,47
Caraquet,2011,3,48,59
Caraquet,2011,4,60,69
Caraquet,2011,5,70,80
Caraquet,2011,6+,81,200
Caraquet,2012,0,0,19
Caraquet,2012,1,20,33
Caraquet,2012,2,34,49
Caraquet,2012,3,50,59
Caraquet,2012,4,60,69
Caraquet,2012,5,70,80
Caraquet,2012,6+,81,200
Caraquet,2013,0,0,19
Caraquet,2013,1,20,33
Caraquet,2013,2,34,49
Caraquet,2013,3,50,59
Caraquet,2013,4,60,69
Caraquet,2013,5,70,80
Caraquet,2013,6+,81,200
Caraquet,2014,0,0,19
Caraquet,2014,1,20,33
Caraquet,2014,2,34,49
Caraquet,2014,3,50,59
Caraquet,2014,4,60,69
Caraquet,2014,5,70,80
Caraquet,2014,6+,81,200
Caraquet,2015,0,0,19
Caraquet,2015,1,20,33
Caraquet,2015,2,34,49
Caraquet,2015,3,50,59
Caraquet,2015,4,60,69
Caraquet,2015,5,70,80
Caraquet,2015,6+,81,200
Caraquet,2016,0,0,19
Caraquet,2016,1,20,34
Caraquet,2016,2,35,49
Caraquet,2016,3,50,59
Caraquet,2016,4,60,69
Caraquet,2016,5,70,80
Caraquet,2016,6+,81,200
Caraquet,2017,0,0,19
Caraquet,2017,1,20,34
Caraquet,2017,2,35,49
Caraquet,2017,3,50,59
Caraquet,2017,4,60,69
Caraquet,2017,5,70,80
Caraquet,2017,6+,81,200
Caraquet,2018,0,0,19
Caraquet,2018,1,20,33
Caraquet,2018,2,34,49
Caraquet,2018,3,50,59
Caraquet,2018,4,60,69
Caraquet,2018,5,70,80
Caraquet,2018,6+,81,200
Caraquet,2019,0,0,19
Caraquet,2019,1,20,33
Caraquet,2019,2,34,49
Caraquet,2019,3,50,59
Caraquet,2019,4,60,69
Caraquet,2019,5,70,80
Caraquet,2019,6+,81,200
Caraquet,2020,0,0,19
Caraquet,2020,1,20,33
Caraquet,2020,2,34,49
Caraquet,2020,3,50,59
Caraquet,2020,4,60,69
Caraquet,2020,5,70,80
Caraquet,2020,6+,81,200
Caraquet,2021,0,0,19
Caraquet,2021,1,20,33
Caraquet,2021,2,34,49
Caraquet,2021,3,50,59
Caraquet,2021,4,60,69
Caraquet,2021,5,70,80
Caraquet,2021,6+,81,200
Shediac,2005,0,0,25
Shediac,2005,1,26,38
Shediac,2005,2,39,49
Shediac,2005,3,50,59
Shediac,2005,4,60,69
Shediac,2005,5,70,80
Shediac,2005,6+,81,200
Shediac,2006,0,0,25
Shediac,2006,1,26,38
Shediac,2006,2,39,49
Shediac,2006,3,50,59
Shediac,2006,4,60,69
Shediac,2006,5,70,80
Shediac,2006,6+,81,200
Shediac,2007,0,0,25
Shediac,2007,1,26,38
Shediac,2007,2,39,49
Shediac,2007,3,50,59
Shediac,2007,4,60,69
Shediac,2007,5,70,80
Shediac,2007,6+,81,200
Shediac,2008,0,0,26
Shediac,2008,1,27,38
Shediac,2008,2,39,49
Shediac,2008,3,50,59
Shediac,2008,4,60,69
Shediac,2008,5,70,80
Shediac,2008,6+,81,200
Shediac,2009,0,0,25
Shediac,2009,1,26,36
Shediac,2009,2,37,49
Shediac,2009,3,50,59
Shediac,2009,4,60,69
Shediac,2009,5,70,80
Shediac,2009,6+,81,200
Shediac,2010,0,0,24
Shediac,2010,1,25,36
Shediac,2010,2,37,49
Shediac,2010,3,50,59
Shediac,2010,4,60,69
Shediac,2010,5,70,80
Shediac,2010,6+,81,200
Shediac,2011,0,0,26
Shediac,2011,1,27,38
Shediac,2011,2,39,49
Shediac,2011,3,50,59
Shediac,2011,4,60,69
Shediac,2011,5,70,80
Shediac,2011,6+,81,200
Shediac,2012,0,0,26
Shediac,2012,1,27,38
Shediac,2012,2,39,49
Shediac,2012,3,50,59
Shediac,2012,4,60,69
Shediac,2012,5,70,80
Shediac,2012,6+,81,200
Shediac,2013,0,0,26
Shediac,2013,1,27,38
Shediac,2013,2,39,49
Shediac,2013,3,50,59
Shediac,2013,4,60,69
Shediac,2013,5,70,80
Shediac,2013,6+,81,200
Shediac,2014,0,0,22
Shediac,2014,1,23,33
Shediac,2014,2,34,49
Shediac,2014,3,50,59
Shediac,2014,4,60,69
Shediac,2014,5,70,80
Shediac,2014,6+,81,200
Shediac,2015,0,0,24
Shediac,2015,1,25,37
Shediac,2015,2,38,49
Shediac,2015,3,50,59
Shediac,2015,4,60,69
Shediac,2015,5,70,80
Shediac,2015,6+,81,200
Shediac,2016,0,0,24
Shediac,2016,1,25,37
Shediac,2016,2,38,49
Shediac,2016,3,50,59
Shediac,2016,4,60,69
Shediac,2016,5,70,80
Shediac,2016,6+,81,200
Shediac,2017,0,0,19
Shediac,2017,1,20,34
Shediac,2017,2,35,49
Shediac,2017,3,50,59
Shediac,2017,4,60,69
Shediac,2017,5,70,80
Shediac,2017,6+,81,200
Shediac,2018,0,0,21
Shediac,2018,1,22,33
Shediac,2018,2,34,49
Shediac,2018,3,50,59
Shediac,2018,4,60,69
Shediac,2018,5,70,80
Shediac,2018,6+,81,200
Shediac,2019,0,0,21
Shediac,2019,1,22,33
Shediac,2019,2,34,49
Shediac,2019,3,50,59
Shediac,2019,4,60,69
Shediac,2019,5,70,80
Shediac,2019,6+,81,200
Shediac,2020,0,0,21
Shediac,2020,1,22,33
Shediac,2020,2,34,49
Shediac,2020,3,50,59
Shediac,2020,4,60,69
Shediac,2020,5,70,80
Shediac,2020,6+,81,200
Shediac,2021,0,0,21
Shediac,2021,1,22,33
Shediac,2021,2,34,49
Shediac,2021,3,50,59
Shediac,2021,4,60,69
Shediac,2021,5,70,80
Shediac,2021,6+,81,200
Richibucto,2008,0,0,23
Richibucto,2008,1,24,38
Richibucto,2008,2,39,49
Richibucto,2008,3,50,59
Richibucto,2008,4,60,69
Richibucto,2008,5,70,80
Richibucto,2008,6+,81,200
Richibucto,2009,0,0,21
Richibucto,2009,1,22,37
Richibucto,2009,2,38,49
Richibucto,2009,3,50,59
Richibucto,2009,4,60,69
Richibucto,2009,5,70,80
Richibucto,2009,6+,81,200
Richibucto,2010,0,0,21
Richibucto,2010,1,22,37
Richibucto,2010,2,38,49
Richibucto,2010,3,50,59
Richibucto,2010,4,60,69
Richibucto,2010,5,70,80
Richibucto,2010,6+,81,200
Richibucto,2011,0,0,23
Richibucto,2011,1,24,37
Richibucto,2011,2,38,49
Richibucto,2011,3,50,59
Richibucto,2011,4,60,69
Richibucto,2011,5,70,80
Richibucto,2011,6+,81,200
Richibucto,2012,0,0,23
Richibucto,2012,1,24,38
Richibucto,2012,2,39,49
Richibucto,2012,3,50,59
Richibucto,2012,4,60,69
Richibucto,2012,5,70,80
Richibucto,2012,6+,81,200
Richibucto,2013,0,0,22
Richibucto,2013,1,23,38
Richibucto,2013,2,39,49
Richibucto,2013,3,50,59
Richibucto,2013,4,60,69
Richibucto,2013,5,70,80
Richibucto,2013,6+,81,200
